cldf_name,cldf_glottocode,cldf_iso639P3code,cldf_latitude,cldf_longitude,cldf_value,author,title,year,id
Kuy,kuyy1240,kdt,14.6698,104.911,"long grammar","Chareanraat, Chirat","The Kuay language of Suphanburi",2525,hh:g:Chareanraat:Kuay
Patwin,patw1250,pwi,39.2143,-122.0094,"long grammar","Lawyer, Lewis C.","A Grammar of Patwin",2021,hh:g:Lawyer:Patwin
"Min Nan Chinese",minn1241,nan,24.5,118.17,"long grammar","Chen, Weirong","A Grammar of Southern Min: The Hui’an Dialect",2020,hh:g:Chen:Huian:2020
Seeku,seek1238,sos,11.1285,-4.58203,"long grammar","McPherson, Laura","A grammar of Seenku",2020,hh:g:McPherson:Seenku
Taiap,taia1239,gpn,-4.05047,144.506,grammar,"Kulick, Don and Terrill, Angela","A Grammar and Dictionary of Tayap: The Life and Death of a Papuan Language",2019,hh:gd:KulickTerrill:Tayap
"Tlaxcala-Puebla-Central Nahuatl",cent2132,nhn,19.1248,-98.3002,"long grammar","Nájera, Lucero Flores","La gramática de la cláusula simple en el Náhuatl de Tlaxcala",2019,hh:g:Najera:Tlaxcala-Nahuatl
"Qashqa'i",qash1240,qxq,28.25931,52.83349,"long grammar","Dolatkhah, Sohrab","Qashqai Turkic: A Comprehensive Corpus-based Grammar",2019,hh:g:Dolatkhah:Qashqai
Bassari-Tanda,bass1258,bsc,12.4529,-13.3495,grammar,"Perrin, Loïc-Michel","Description grammaticale du Basari (Oniyan): Langue atlantique du Sénégal Oriental",2019,hh:g:Perrin:Basari
Idun,idun1241,ldb,9.12585,7.77525,"long grammar","Marggrander, Anna","A Grammar of Dũya: A Plateau Language of Central Nigeria",2019,hh:g:Marggrander:Duya
Abure,abur1243,abu,5.21534,-3.64123,grammar,"Yangra, Aboi F.","La syntaxe de l'abouré, langue kwa de Côte d'Ivoire",2019,hh:g:Yangra:Aboure
Nyangbo,nyan1302,nyb,6.82649,0.37152,"long grammar","Essegbey, James","Tutrugbu (Nyangbo) Language and Culture",2019,hh:g:Essegbey:Tutrugbu
Mbre,mbre1244,mka,8.20929,-5.72944,"long grammar","Heath, Jeffrey and Tioté, Brahima","A grammar of Pere (Bere, Mbre) of Côte d'Ivoire",2019,hh:g:HeathTiote:Pere
Lakkia,lakk1238,lbc,24.1169,110.106,"long grammar","Fan, Wenjia","A Grammar of Lakkja, South China",2019,hh:g:Fan:Lakkja
Majang,maja1242,mpe,7.71,34.97,"long grammar","Joswig, Andreas","The Majang Language",2019,hh:g:Joswig:Majang:2019
Qaqet,qaqe1238,byx,-4.45258,151.702,"long grammar","Hellwig, Birgit","A Grammar of Qaqet",2019,hh:g:Hellwig:Qaqet
"Medieval Greek",medi1251,,41.013889,28.955556,"long grammar","Holton, David and Horrocks, Geoffrey and Janssen, Marjolijne and Lendari, Tina and Manolessou, Io and Toufexis, Notis","The Cambridge grammar of medieval and early modern Greek",2019,hh:g:Holton:Medieval-Greek
Gothic,goth1244,got,46.9304,29.9786,"long grammar","Miller, Gary D.","The Oxford Gothic Grammar",2019,hh:g:Miller:Gothic
"Western Panjabi",west2386,pnb,30.0948,75.3474,grammar,"Bashir, Elena and Conners, Thomas J.","A Descriptive Grammar of Hindko, Panjabi, and Saraiki",2019,hh:g:BashirConners:Hindko-Panjabi-Saraki
"Northern Hindko",nort2662,hno,34.3202,73.3844,grammar,"Bashir, Elena and Conners, Thomas J.","A Descriptive Grammar of Hindko, Panjabi, and Saraiki",2019,hh:g:BashirConners:Hindko-Panjabi-Saraki
Saraiki,sera1259,skr,29.5534,71.906,grammar,"Bashir, Elena and Conners, Thomas J.","A Descriptive Grammar of Hindko, Panjabi, and Saraiki",2019,hh:g:BashirConners:Hindko-Panjabi-Saraki
Bola,bola1250,bnp,-5.55792,150.095,grammar,"van den Berg, René and Wiebe, Brent","Bola Grammar Sketch",2019,hh:g:vandenBergWiebe:Bola
"Southeast Ambrym",sout2859,tvk,-16.2975,168.211,"long grammar","Ridge, Eleanor Claire","Variation in Vatlongos Verbal Morphosyntax: speaker communities in Southeast Ambrym and Mele Maat",2019,hh:g:Ridge:Vatlongos
Nganasan,ngan1291,nio,73.1354,86.2106,"long grammar","Wagner-Nagy, Beáta Boglárka","A grammar of Nganasan",2019,hh:g:Wagner-Nagy:Nganasan
Sikkimese,sikk1242,sip,27.85795,88.59153,"long grammar","Yliniemi, Juha","A Descriptive Grammar of Denjongke (Sikkimese Bhutia)",2019,hh:g:Yliniemi:Sikkimese
Dzongkha,dzon1239,dzo,27.410786,89.581604,"long grammar","of Gaselô, Karma Tshering and van Driem, George","The Grammar of Dzongkha Revised and Expanded, with a Guide to Roman Dzongkha and to Phonological Dzongkha",2019,hh:g:Tshering:Dzongkha
Stau-Dgebshes,horp1239,ero,31.1026,101.72,"long grammar","Honkasalo, Sami","A grammar of Eastern Geshiza: A Culturally Anchored Description",2019,hh:g:Honkasalo:Geshiza
Totoro,toto1306,ttk,2.55149,-76.6379,"long grammar","Gonzales Castaño, Geny","Una gramática de la lengua namtrik de Totoró: Lengua barbacoa hablada en los Andes colombianos",2019,hh:g:Gonzales:Namtrik
"Chimalapa Zoque",chim1300,zoh,16.6543,-94.6913,"long grammar","Jiménez Jiménez, Silviano","Estudios de la gramática de la oración simple y compleja en el Zoque de San Miguel Chimalapa",2019,hh:g:Jimenez:Zoque-Chimalapa
"Camsá",cams1241,kbh,1.14537,-76.8931,grammar,"O'Brien, Colleen Alena","A grammatical description of Kamsá: A language isolate of Colombia",2018,hh:g:OBrien:Kamsa
Caddo,cadd1256,cad,33.33,-93.5,"long grammar","Chafe, Wallace","The Caddo Language; A grammar, texts and dictionary based on materials collected by the author in Oklahoma between 1960 and 1970",2018,hh:g:Chafe:Caddo
